county_fips_code,the_number_of_providers,the_average_supply_level,social_vulnerability_index_svi,cvac_level_of_concern_for_vaccination_rollout,percent_adults_fully_vaccinated_against_covid_19_as_of_6_10_21,estimated_hesitant,estimated_hesitant_or_unsure,estimated_strongly_hesitant,masks_order_code,completeness_pct,metro_status,series_complete_pop_pct,series_complete_yes,series_complete_pop_pct_svi,series_complete_pop_pct_ur_equity,general_gb_order_code,general_gb_order_group,general_or_under_6ft_bans_gatherings_over,stay_at_home_order_code,community_transmission_level,avg_asthma,avg_chd,avg_checkup,avg_copd,avg_smoking,avg_depression,avg_diabetes,avg_ghlth,avg_lpa,avg_mhlth,avg_obesity,avg_sleep
10,5,-0.4,0.84,0.98,0.266,596,640,0.1151,2,98.7,1,22.0,3102.0,13.0,5.0,0,4,7,2,1,9.3,7.966666666666667,72.66666666666667,11.0,24.633333333333333,22.433333333333334,11.566666666666666,24.266666666666666,32.93333333333333,18.633333333333333,35.96666666666667,39.96666666666667
11,221,0.583710407239819,0.49,0.52,0.545,349,300,0.0826,2,98.7,0,49.2,92889.0,7.0,3.0,0,4,7,2,1,8.589473684210526,10.321052631578947,81.35263157894737,11.802631578947368,17.07894736842105,18.181578947368422,14.368421052631579,22.78157894736842,26.507894736842104,13.66578947368421,28.54736842105263,35.88947368421053
12,173,0.35260115606936415,0.6,0.65,0.469,430,401,0.0909,2,98.7,0,40.9,61261.0,11.0,3.0,0,4,7,2,2,9.077777777777778,11.148148148148149,80.13333333333334,13.64074074074074,21.548148148148147,21.81111111111111,16.225925925925925,25.396296296296295,31.6,16.09259259259259,31.918518518518518,40.01851851851852
13,206,0.35436893203883496,0.38,0.49,0.354,441,436,0.0899,2,98.7,0,28.8,63053.0,5.0,1.0,0,4,7,2,2,9.03,6.6066666666666665,74.20333333333333,9.01,21.66,20.91,11.673333333333334,20.253333333333334,28.666666666666668,17.186666666666667,32.91,40.736666666666665
14,460,0.5152173913043478,0.46,0.46,0.571,260,212,0.0706,2,98.7,0,49.5,190426.0,7.0,3.0,0,4,7,2,2,7.901369863013699,8.48904109589041,78.51917808219179,9.256164383561643,15.742465753424657,17.002739726027396,12.128767123287671,20.236986301369864,24.76986301369863,12.96027397260274,24.647945205479452,31.383561643835616
15,80,0.1375,0.86,0.74,0.312,629,671,0.1242,2,98.7,1,25.1,17974.0,13.0,5.0,0,4,7,2,1,10.05,7.783333333333333,76.86666666666666,11.233333333333333,26.241666666666667,23.55,13.366666666666667,23.766666666666666,33.0,18.55,36.28333333333333,41.475
16,37,0.2702702702702703,0.96,0.95,0.352,471,511,0.0968,2,98.7,1,29.4,11191.0,13.0,5.0,0,4,7,2,2,9.544444444444444,9.555555555555555,76.32222222222222,12.7,23.57777777777778,19.377777777777776,15.922222222222222,30.033333333333335,36.87777777777778,18.522222222222222,35.75555555555555,38.03333333333333
17,10,0.8,0.9,0.94,0.253,629,671,0.1242,2,98.7,1,21.0,3540.0,13.0,5.0,0,4,7,2,2,10.033333333333333,9.7,74.96666666666667,14.166666666666666,27.7,22.033333333333335,14.866666666666667,28.833333333333332,35.96666666666667,19.366666666666667,36.766666666666666,38.8
18,960,0.54375,0.69,0.71,0.457,461,517,0.0932,2,98.7,0,36.9,353874.0,10.0,2.0,0,4,7,2,2,9.742196531791908,6.253757225433526,76.6728323699422,8.616184971098265,21.134104046242776,20.52947976878613,11.808092485549134,22.220809248554914,30.991907514450865,17.90057803468208,34.24739884393063,40.66184971098266
19,311,0.3858520900321543,0.49,0.59,0.41,531,569,0.1014,2,98.7,0,33.4,106424.0,6.0,2.0,0,4,7,2,1,9.67887323943662,6.715492957746479,77.6056338028169,8.973239436619718,20.06338028169014,21.035211267605632,12.909859154929578,22.285915492957745,29.133802816901408,17.18169014084507,30.830985915492956,41.0056338028169
20,133,0.7819548872180451,0.28,0.67,0.519,335,297,0.0794,2,98.7,0,44.5,51189.0,7.0,3.0,0,4,7,2,1,8.545,8.78,79.76,10.325,19.84,20.335,13.37,21.005,26.705,15.01,32.86,36.995
21,13,0.3076923076923077,0.81,0.77,0.384,596,640,0.1151,2,98.7,1,32.8,3977.0,14.0,6.0,0,4,7,2,1,9.2,8.675,75.825,11.575,24.875,20.6,12.95,24.8,33.175,17.825,31.65,38.55
22,43,0.16279069767441862,0.99,0.97,0.458,596,640,0.1151,2,98.7,0,36.8,16782.0,14.0,2.0,0,4,7,2,2,10.666666666666666,7.6,79.82222222222222,10.455555555555556,22.866666666666667,19.41111111111111,16.57777777777778,28.211111111111112,35.65555555555556,18.677777777777777,39.82222222222222,42.611111111111114
23,17,0.6470588235294118,0.76,0.9,0.266,629,671,0.1242,2,98.7,0,21.9,4062.0,13.0,1.0,0,4,7,2,2,9.54,8.4,72.08,11.88,23.72,22.68,12.14,24.98,31.42,18.84,32.76,37.28
24,23,-0.13043478260869565,0.59,0.7,0.388,596,640,0.1151,2,98.7,0,32.0,4364.0,10.0,2.0,0,4,7,2,3,9.1,7.733333333333333,77.16666666666667,9.9,22.366666666666667,20.533333333333335,12.2,22.933333333333334,31.7,16.733333333333334,29.0,39.96666666666667
25,8,0.5,0.99,0.99,0.287,609,659,0.1175,2,98.7,1,23.7,3419.0,13.0,5.0,0,4,7,2,1,10.266666666666667,8.933333333333334,77.2,12.333333333333334,26.733333333333334,19.766666666666666,15.033333333333333,29.933333333333334,36.93333333333333,19.866666666666667,37.03333333333333,39.56666666666667
26,18,0.5,0.98,0.93,0.294,471,511,0.0968,2,98.7,1,22.5,6057.0,13.0,5.0,0,4,7,2,2,9.3,8.366666666666667,73.71666666666667,11.216666666666667,23.3,20.016666666666666,13.95,28.766666666666666,38.266666666666666,18.783333333333335,35.88333333333333,38.85
27,43,0.3023255813953488,0.99,0.97,0.364,519,567,0.1015,2,98.7,1,27.8,11681.0,13.0,5.0,0,4,7,2,0,9.516666666666667,7.8,71.65,10.433333333333334,24.566666666666666,18.833333333333332,14.55,32.55,40.516666666666666,19.7,41.38333333333333,41.81666666666667
28,226,0.3495575221238938,0.55,0.57,0.42,475,473,0.0951,2,98.7,0,35.9,69528.0,10.0,2.0,0,4,7,2,2,8.781818181818181,9.745454545454546,79.12272727272727,11.813636363636364,20.56590909090909,21.81590909090909,14.702272727272728,23.756818181818183,32.152272727272724,15.834090909090909,32.345454545454544,36.777272727272724
29,99,0.32323232323232326,0.87,0.82,0.403,480,522,0.0975,2,98.7,0,34.4,36574.0,14.0,2.0,0,4,7,2,2,8.891666666666667,11.658333333333333,79.875,13.270833333333334,20.479166666666668,19.0375,17.129166666666666,28.145833333333332,32.84166666666667,16.170833333333334,30.7125,33.895833333333336
30,1571,0.45957988542329725,0.67,0.67,0.46,390,398,0.0833,2,98.7,0,37.9,557984.0,10.0,2.0,0,4,7,2,2,8.818210862619809,6.028434504792332,76.5038338658147,7.754632587859425,18.58594249201278,20.329073482428115,11.22811501597444,21.09105431309904,27.043130990415335,16.4185303514377,30.256869009584666,37.75814696485623
31,8,0.0,0.93,0.94,0.24,546,552,0.103,2,98.7,1,19.7,3860.0,13.0,5.0,0,4,7,2,2,10.2,9.35,77.0,13.5,26.375,24.975,14.75,28.25,36.7,19.85,40.4,40.275
32,228,0.6447368421052632,0.4,0.51,0.533,369,340,0.0829,2,98.7,0,46.8,74804.0,7.0,3.0,0,4,7,2,1,8.241379310344827,9.355172413793104,78.54827586206896,10.320689655172414,16.63448275862069,18.26551724137931,13.255172413793103,20.955172413793104,27.920689655172414,13.541379310344828,27.86551724137931,33.61379310344827
33,33,0.15151515151515152,0.96,0.94,0.336,596,640,0.1151,2,98.7,1,28.3,13133.0,13.0,5.0,0,4,7,2,1,9.845454545454546,8.5,74.8,11.618181818181819,25.472727272727273,20.745454545454546,14.209090909090909,27.29090909090909,38.46363636363636,18.672727272727272,39.61818181818182,39.518181818181816
34,12,0.0,0.57,0.8,0.508,596,640,0.1151,2,98.7,0,42.8,6104.0,11.0,3.0,0,4,7,2,1,9.833333333333334,8.166666666666666,77.13333333333334,10.666666666666666,22.3,19.9,14.233333333333333,24.933333333333334,32.86666666666667,17.066666666666666,33.3,37.7
35,433,0.44341801385681295,0.6,0.57,0.535,391,370,0.0861,2,98.7,0,45.3,166325.0,11.0,3.0,0,4,7,2,2,8.723214285714286,9.253571428571428,79.41071428571429,11.1,20.317857142857143,19.041071428571428,13.864285714285714,23.65714285714286,30.79642857142857,15.785714285714286,31.126785714285713,38.176785714285714
36,904,0.5663716814159292,0.55,0.48,0.492,337,304,0.0795,2,98.7,0,42.3,325880.0,11.0,3.0,0,4,7,2,2,8.576363636363636,8.238787878787878,78.96545454545455,9.464242424242425,17.60787878787879,18.69151515151515,12.273939393939393,21.395757575757575,26.773333333333333,14.821818181818182,29.08,34.724848484848486
37,299,0.5451505016722408,0.49,0.59,0.451,330,372,0.0783,2,98.7,0,38.5,112913.0,6.0,2.0,0,4,7,2,1,9.894117647058824,4.767647058823529,73.77941176470588,6.577941176470588,17.013235294117646,19.275,8.729411764705882,17.648529411764706,24.519117647058824,18.163235294117648,29.05294117647059,38.563235294117646
38,67,0.07462686567164178,0.78,0.9,0.345,629,671,0.1242,2,98.7,1,28.7,11906.0,13.0,5.0,0,4,7,2,3,9.733333333333333,9.811111111111112,77.77777777777777,13.166666666666666,24.488888888888887,21.844444444444445,15.077777777777778,27.8,34.55555555555556,18.533333333333335,37.455555555555556,39.27777777777778
39,7,-0.42857142857142855,0.83,0.91,0.269,596,640,0.1151,2,98.7,1,22.6,1888.0,13.0,5.0,0,4,7,2,2,9.6,7.4,73.8,10.75,26.1,23.15,11.9,25.6,32.0,19.25,34.6,37.5
40,12,0.0,0.96,0.98,0.352,609,659,0.1175,2,98.7,1,29.0,5368.0,13.0,5.0,0,4,7,2,2,9.8,8.66,77.9,11.88,23.5,19.4,15.78,28.1,34.9,18.58,36.12,40.06
41,481,0.3887733887733888,0.52,0.41,0.485,360,327,0.0818,2,98.7,0,41.6,167673.0,11.0,3.0,0,4,7,2,2,8.798717948717949,8.47051282051282,78.63717948717948,9.912820512820513,17.416666666666668,20.884615384615383,12.594871794871795,21.31153846153846,27.212820512820514,15.48974358974359,29.26025641025641,34.76923076923077
42,376,0.5186170212765957,0.75,0.71,0.446,471,491,0.0958,2,98.7,0,37.9,138639.0,14.0,2.0,0,4,7,2,1,9.39672131147541,9.460655737704919,79.73934426229508,11.678688524590164,22.34262295081967,21.34918032786885,13.99672131147541,25.71311475409836,31.08688524590164,17.301639344262295,33.99180327868852,38.4327868852459
43,195,0.49230769230769234,0.4,0.43,0.529,269,217,0.0706,2,98.7,0,45.8,73813.0,7.0,3.0,0,4,7,2,2,7.985294117647059,8.823529411764707,80.30294117647058,9.991176470588234,16.361764705882354,18.108823529411765,12.33235294117647,20.01764705882353,27.144117647058824,13.405882352941177,23.70294117647059,33.17941176470588
44,2634,0.3192862566438876,0.82,0.82,0.583,288,292,0.0719,2,98.7,0,49.4,1343148.0,15.0,3.0,0,4,7,2,2,8.188845401174168,5.861056751467711,76.04990215264188,6.324070450097848,14.71839530332681,16.3853228962818,13.99412915851272,25.24109589041096,33.12172211350293,14.823091976516634,29.76164383561644,38.58610567514677
45,131,0.366412213740458,0.46,0.59,0.59,433,426,0.089,2,98.7,1,52.1,38701.0,8.0,8.0,0,4,7,2,2,7.792857142857143,7.0,76.77857142857142,8.139285714285714,18.446428571428573,19.307142857142857,10.971428571428572,19.007142857142856,25.760714285714286,14.085714285714285,29.9,36.99285714285714
